cycle_number,target_weight,actual_weight,error,abs_error,learning_rate,max_adjustment,convergence_speed,material_type,coarse_advance,fine_advance,jog_count,material_name
1,1000.0,0.06944420931979399,-999.9305557906802,999.9305557906802,0.2,0.3,normal,unknown,60.0,6.0,1,标准材料
2,1000.0,0.017214860203192253,-999.9827851397968,999.9827851397968,0.2,0.3,normal,unknown,100.0,9.669120000000003,1,标准材料
3,1000.0,0.017962292992747004,-999.9820377070073,999.9820377070073,0.2,0.3,normal,unknown,100.0,15.581980262400007,1,标准材料
4,1000.0,0.017478725251146156,-999.9825212747488,999.9825212747488,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,标准材料
5,1000.0,0.017758535641229832,-999.9822414643588,999.9822414643588,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,标准材料
6,1000.0,0.017773176632215067,-999.9822268233678,999.9822268233678,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,标准材料
7,1000.0,0.017930773773436208,-999.9820692262266,999.9820692262266,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,标准材料
8,1000.0,0.016878281232584978,-999.9831217187674,999.9831217187674,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,标准材料
9,1000.0,0.017634221975324122,-999.9823657780247,999.9823657780247,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,标准材料
10,1000.0,0.01790819599947576,-999.9820918040006,999.9820918040006,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,标准材料
11,1000.0,0.017257867335301283,-999.9827421326647,999.9827421326647,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,标准材料
12,1000.0,0.01703035296574392,-999.9829696470342,999.9829696470342,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,标准材料
13,1000.0,0.01662029768004571,-999.98337970232,999.98337970232,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,标准材料
14,1000.0,0.01811600747045691,-999.9818839925296,999.9818839925296,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,标准材料
15,1000.0,0.016888704292645322,-999.9831112957073,999.9831112957073,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,标准材料
16,1000.0,0.023837802903866587,-999.9761621970962,999.9761621970962,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,高密度材料
17,1000.0,0.026106764808668727,-999.9738932351913,999.9738932351913,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,高密度材料
18,1000.0,0.024972497284674405,-999.9750275027153,999.9750275027153,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,高密度材料
19,1000.0,0.024209664262801897,-999.9757903357372,999.9757903357372,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,高密度材料
20,1000.0,0.025465875617498076,-999.9745341243826,999.9745341243826,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,高密度材料
21,1000.0,0.0248705554418727,-999.9751294445581,999.9751294445581,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,高密度材料
22,1000.0,0.026254975750924628,-999.9737450242491,999.9737450242491,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,高密度材料
23,1000.0,0.0253491286410077,-999.974650871359,999.974650871359,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,高密度材料
24,1000.0,0.02383132290264501,-999.9761686770973,999.9761686770973,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,高密度材料
25,1000.0,0.025407535957442974,-999.9745924640425,999.9745924640425,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,高密度材料
26,1000.0,0.025002548618976696,-999.974997451381,999.974997451381,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,高密度材料
27,1000.0,0.026433827550304333,-999.9735661724498,999.9735661724498,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,高密度材料
28,1000.0,0.02454439433576413,-999.9754556056643,999.9754556056643,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,高密度材料
29,1000.0,0.02460631719377968,-999.9753936828063,999.9753936828063,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,高密度材料
30,1000.0,0.02413112677406195,-999.975868873226,999.975868873226,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,高密度材料
31,1000.0,0.012258075406081703,-999.9877419245939,999.9877419245939,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,快速流动材料
32,1000.0,0.011931451466493333,-999.9880685485335,999.9880685485335,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,快速流动材料
33,1000.0,0.011279646957742884,-999.9887203530423,999.9887203530423,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,快速流动材料
34,1000.0,0.012264768322525535,-999.9877352316774,999.9877352316774,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,快速流动材料
35,1000.0,0.011199531259061915,-999.9888004687409,999.9888004687409,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,快速流动材料
36,1000.0,0.011907692097804195,-999.9880923079022,999.9880923079022,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,快速流动材料
37,1000.0,0.011307527032151224,-999.9886924729678,999.9886924729678,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,快速流动材料
38,1000.0,0.011671246991087328,-999.9883287530089,999.9883287530089,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,快速流动材料
39,1000.0,0.01157757457347391,-999.9884224254265,999.9884224254265,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,快速流动材料
40,1000.0,0.011315693680998568,-999.988684306319,999.988684306319,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,快速流动材料
41,1000.0,0.011060555363945183,-999.988939444636,999.988939444636,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,快速流动材料
42,1000.0,0.0122798122450241,-999.987720187755,999.987720187755,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,快速流动材料
43,1000.0,0.012100619476470838,-999.9878993805236,999.9878993805236,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,快速流动材料
44,1000.0,0.011276874449327024,-999.9887231255507,999.9887231255507,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,快速流动材料
45,1000.0,0.011723645493059417,-999.988276354507,999.988276354507,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1,快速流动材料
