cycle_number,target_weight,actual_weight,error,abs_error,learning_rate,max_adjustment,convergence_speed,material_type,coarse_advance,fine_advance,jog_count
1,1000.0,0.0728852133719293,-999.9271147866281,999.9271147866281,0.2,0.3,normal,unknown,60.0,6.0,1
2,1000.0,0.01658835923312145,-999.9834116407669,999.9834116407669,0.2,0.3,normal,unknown,100.0,9.669120000000003,1
3,1000.0,0.017080752455867185,-999.9829192475441,999.9829192475441,0.2,0.3,normal,unknown,100.0,15.581980262400007,1
4,1000.0,0.018253155875506293,-999.9817468441245,999.9817468441245,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
5,1000.0,0.016940196109940037,-999.9830598038901,999.9830598038901,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
6,1000.0,0.01663521552549991,-999.9833647844745,999.9833647844745,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
7,1000.0,0.01792167224193514,-999.982078327758,999.982078327758,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
8,1000.0,0.0179942115623536,-999.9820057884376,999.9820057884376,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
9,1000.0,0.017573146374204734,-999.9824268536258,999.9824268536258,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
10,1000.0,0.01654490061606072,-999.983455099384,999.983455099384,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
11,1000.0,0.01669021643103951,-999.983309783569,999.983309783569,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
12,1000.0,0.016927160103289582,-999.9830728398967,999.9830728398967,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
13,1000.0,0.016800163311898163,-999.9831998366881,999.9831998366881,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
14,1000.0,0.017758070023222598,-999.9822419299768,999.9822419299768,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
15,1000.0,0.018067540004383445,-999.9819324599956,999.9819324599956,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
